Date,Product,Category,Units_Sold,Price_EUR,Revenue_EUR,Margin_Percent
2025-11-03,Samsung 1TB SSD,Components,8,115,920,30
2025-11-03,Kingston 16GB DDR4 RAM,Components,7,59,413,33
2025-11-03,NVIDIA RTX 4060 GPU,Components,4,399,1596,15
2025-11-03,HP LaserJet Printer,Printers,1,239,239,20
2025-11-03,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-03,Logitech C920 Webcam,Accessories,3,79,237,42
2025-11-03,Anker 7-Port USB Hub,Accessories,15,35,525,45
2025-11-03,WD 2TB External HDD,Storage,6,75,450,28
2025-11-03,SanDisk 128GB Flash Drive,Storage,18,15,270,50
2025-11-03,ASUS AX3000 Router,Networking,5,131,655,26
2025-11-03,Anker 20000mAh Powerbank,Accessories,7,51,357,40
2025-11-03,Dell Inspiron 14 Laptop,Laptops,3,719,2157,17
2025-11-03,Lenovo Tab M10 Tablet,Tablets,4,219,876,22
2025-11-03,ASUS ProArt 27" Monitor,Monitors,2,639,1278,19
2025-11-03,Corsair K70 RGB Keyboard,Gaming,8,171,1368,32
2025-11-03,Logitech Z333 Speakers,Accessories,5,63,315,38
2025-11-03,APC 1500VA UPS,Networking,2,199,398,24
2025-11-03,HDMI 2.1 Cable 3m,Accessories,22,11,242,55
2025-11-03,XXL Mouse Pad,Gaming,14,23,322,48
2025-11-03,Electronics Cleaning Kit,Accessories,12,7,84,60
2025-11-04,ASUS VivoBook 15 Laptop,Laptops,2,639,1278,18
2025-11-04,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-04,Samsung 27" 4K Monitor,Monitors,3,359,1077,22
2025-11-04,LG 24" FHD Monitor,Monitors,4,169,676,25
2025-11-04,Logitech MX Keys Keyboard,Accessories,7,119,833,35
2025-11-04,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-04,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-04,Razer DeathAdder Mouse,Gaming,4,67,268,40
2025-11-04,HyperX Cloud II Headset,Gaming,3,87,261,36
2025-11-04,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-04,Samsung 1TB SSD,Components,10,115,1150,30
2025-11-04,Kingston 16GB DDR4 RAM,Components,8,59,472,33
2025-11-04,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-04,HP LaserJet Printer,Printers,4,239,956,20
2025-11-04,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-04,Logitech C920 Webcam,Accessories,6,79,474,42
2025-11-04,Anker 7-Port USB Hub,Accessories,9,35,315,45
2025-11-04,WD 2TB External HDD,Storage,5,75,375,28
2025-11-04,SanDisk 128GB Flash Drive,Storage,11,15,165,50
2025-11-04,ASUS AX3000 Router,Networking,3,131,393,26
2025-11-04,Anker 20000mAh Powerbank,Accessories,4,51,204,40
2025-11-04,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-04,Lenovo Tab M10 Tablet,Tablets,2,219,438,22
2025-11-04,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-04,Corsair K70 RGB Keyboard,Gaming,2,171,342,32
2025-11-04,Logitech Z333 Speakers,Accessories,3,63,189,38
2025-11-04,APC 1500VA UPS,Networking,1,199,199,24
2025-11-04,HDMI 2.1 Cable 3m,Accessories,16,11,176,55
2025-11-04,XXL Mouse Pad,Gaming,6,23,138,48
2025-11-04,Electronics Cleaning Kit,Accessories,9,7,63,60
2025-11-05,ASUS VivoBook 15 Laptop,Laptops,3,639,1917,18
2025-11-05,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-05,Samsung 27" 4K Monitor,Monitors,4,359,1436,22
2025-11-05,LG 24" FHD Monitor,Monitors,5,169,845,25
2025-11-05,Logitech MX Keys Keyboard,Accessories,6,119,714,35
2025-11-05,Microsoft Ergonomic Keyboard,Accessories,2,75,150,32
2025-11-05,Logitech MX Master 3 Mouse,Accessories,6,99,594,38
2025-11-05,Razer DeathAdder Mouse,Gaming,5,67,335,40
2025-11-05,HyperX Cloud II Headset,Gaming,4,87,348,36
2025-11-05,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-05,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-05,Kingston 16GB DDR4 RAM,Components,6,59,354,33
2025-11-05,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-05,HP LaserJet Printer,Printers,3,239,717,20
2025-11-05,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-05,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-05,Anker 7-Port USB Hub,Accessories,11,35,385,45
2025-11-05,WD 2TB External HDD,Storage,6,75,450,28
2025-11-05,SanDisk 128GB Flash Drive,Storage,14,15,210,50
2025-11-05,ASUS AX3000 Router,Networking,4,131,524,26
2025-11-05,Anker 20000mAh Powerbank,Accessories,5,51,255,40
2025-11-05,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-05,Lenovo Tab M10 Tablet,Tablets,3,219,657,22
2025-11-05,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-05,Corsair K70 RGB Keyboard,Gaming,3,171,513,32
2025-11-05,Logitech Z333 Speakers,Accessories,4,63,252,38
2025-11-05,APC 1500VA UPS,Networking,2,199,398,24
2025-11-05,HDMI 2.1 Cable 3m,Accessories,17,11,187,55
2025-11-05,XXL Mouse Pad,Gaming,7,23,161,48
2025-11-05,Electronics Cleaning Kit,Accessories,10,7,70,60
2025-11-06,ASUS VivoBook 15 Laptop,Laptops,2,639,1278,18
2025-11-06,Lenovo IdeaPad 3 Laptop,Laptops,3,539,1617,16
2025-11-06,Samsung 27" 4K Monitor,Monitors,3,359,1077,22
2025-11-06,LG 24" FHD Monitor,Monitors,5,169,845,25
2025-11-06,Logitech MX Keys Keyboard,Accessories,7,119,833,35
2025-11-06,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-06,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-06,Razer DeathAdder Mouse,Gaming,6,67,402,40
2025-11-06,HyperX Cloud II Headset,Gaming,5,87,435,36
2025-11-06,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-06,Samsung 1TB SSD,Components,8,115,920,30
2025-11-06,Kingston 16GB DDR4 RAM,Components,5,59,295,33
2025-11-06,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-06,HP LaserJet Printer,Printers,2,239,478,20
2025-11-06,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-06,Logitech C920 Webcam,Accessories,4,79,316,42
2025-11-06,Anker 7-Port USB Hub,Accessories,10,35,350,45
2025-11-06,WD 2TB External HDD,Storage,5,75,375,28
2025-11-06,SanDisk 128GB Flash Drive,Storage,13,15,195,50
2025-11-06,ASUS AX3000 Router,Networking,3,131,393,26
2025-11-06,Anker 20000mAh Powerbank,Accessories,5,51,255,40
2025-11-06,Dell Inspiron 14 Laptop,Laptops,1,719,719,17
2025-11-06,Lenovo Tab M10 Tablet,Tablets,2,219,438,22
2025-11-06,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-06,Corsair K70 RGB Keyboard,Gaming,4,171,684,32
2025-11-06,Logitech Z333 Speakers,Accessories,3,63,189,38
2025-11-06,APC 1500VA UPS,Networking,1,199,199,24
2025-11-06,HDMI 2.1 Cable 3m,Accessories,15,11,165,55
2025-11-06,XXL Mouse Pad,Gaming,8,23,184,48
2025-11-06,Electronics Cleaning Kit,Accessories,9,7,63,60
2025-11-07,ASUS VivoBook 15 Laptop,Laptops,3,639,1917,18
2025-11-07,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-07,Samsung 27" 4K Monitor,Monitors,4,359,1436,22
2025-11-07,LG 24" FHD Monitor,Monitors,6,169,1014,25
2025-11-07,Logitech MX Keys Keyboard,Accessories,8,119,952,35
2025-11-07,Microsoft Ergonomic Keyboard,Accessories,4,75,300,32
2025-11-07,Logitech MX Master 3 Mouse,Accessories,7,99,693,38
2025-11-07,Razer DeathAdder Mouse,Gaming,7,67,469,40
2025-11-07,HyperX Cloud II Headset,Gaming,6,87,522,36
2025-11-07,Secret Lab Gaming Chair,Gaming,2,519,1038,28
2025-11-07,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-07,Kingston 16GB DDR4 RAM,Components,7,59,413,33
2025-11-07,NVIDIA RTX 4060 GPU,Components,3,399,1197,15
2025-11-07,HP LaserJet Printer,Printers,3,239,717,20
2025-11-07,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-07,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-07,Anker 7-Port USB Hub,Accessories,12,35,420,45
2025-11-07,WD 2TB External HDD,Storage,7,75,525,28
2025-11-07,SanDisk 128GB Flash Drive,Storage,16,15,240,50
2025-11-07,ASUS AX3000 Router,Networking,4,131,524,26
2025-11-07,Anker 20000mAh Powerbank,Accessories,6,51,306,40
2025-11-07,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-07,Lenovo Tab M10 Tablet,Tablets,3,219,657,22
2025-11-07,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-07,Corsair K70 RGB Keyboard,Gaming,5,171,855,32
2025-11-07,Logitech Z333 Speakers,Accessories,4,63,252,38
2025-11-07,APC 1500VA UPS,Networking,2,199,398,24
2025-11-07,HDMI 2.1 Cable 3m,Accessories,19,11,209,55
2025-11-07,XXL Mouse Pad,Gaming,9,23,207,48
2025-11-07,Electronics Cleaning Kit,Accessories,11,7,77,60
2025-11-08,ASUS VivoBook 15 Laptop,Laptops,6,639,3834,18
2025-11-08,Lenovo IdeaPad 3 Laptop,Laptops,5,539,2695,16
2025-11-08,Samsung 27" 4K Monitor,Monitors,7,359,2513,22
2025-11-08,LG 24" FHD Monitor,Monitors,9,169,1521,25
2025-11-08,Logitech MX Keys Keyboard,Accessories,6,119,714,35
2025-11-08,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-08,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-08,Razer DeathAdder Mouse,Gaming,14,67,938,40
2025-11-08,HyperX Cloud II Headset,Gaming,11,87,957,36
2025-11-08,Secret Lab Gaming Chair,Gaming,4,519,2076,28
2025-11-08,Samsung 1TB SSD,Components,10,115,1150,30
2025-11-08,Kingston 16GB DDR4 RAM,Components,8,59,472,33
2025-11-08,NVIDIA RTX 4060 GPU,Components,5,399,1995,15
2025-11-08,HP LaserJet Printer,Printers,2,239,478,20
2025-11-08,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-08,Logitech C920 Webcam,Accessories,4,79,316,42
2025-11-08,Anker 7-Port USB Hub,Accessories,14,35,490,45
2025-11-08,WD 2TB External HDD,Storage,6,75,450,28
2025-11-08,SanDisk 128GB Flash Drive,Storage,20,15,300,50
2025-11-08,ASUS AX3000 Router,Networking,5,131,655,26
2025-11-08,Anker 20000mAh Powerbank,Accessories,8,51,408,40
2025-11-08,Dell Inspiron 14 Laptop,Laptops,4,719,2876,17
2025-11-08,Lenovo Tab M10 Tablet,Tablets,5,219,1095,22
2025-11-08,ASUS ProArt 27" Monitor,Monitors,2,639,1278,19
2025-11-08,Corsair K70 RGB Keyboard,Gaming,9,171,1539,32
2025-11-08,Logitech Z333 Speakers,Accessories,6,63,378,38
2025-11-08,APC 1500VA UPS,Networking,3,199,597,24
2025-11-08,HDMI 2.1 Cable 3m,Accessories,25,11,275,55
2025-11-08,XXL Mouse Pad,Gaming,16,23,368,48
2025-11-08,Electronics Cleaning Kit,Accessories,14,7,98,60
2025-11-09,ASUS VivoBook 15 Laptop,Laptops,7,639,4473,18
2025-11-09,Lenovo IdeaPad 3 Laptop,Laptops,6,539,3234,16
2025-11-09,Samsung 27" 4K Monitor,Monitors,8,359,2872,22
2025-11-09,LG 24" FHD Monitor,Monitors,10,169,1690,25
2025-11-09,Logitech MX Keys Keyboard,Accessories,5,119,595,35
2025-11-09,Microsoft Ergonomic Keyboard,Accessories,2,75,150,32
2025-11-09,Logitech MX Master 3 Mouse,Accessories,6,99,594,38
2025-11-09,Razer DeathAdder Mouse,Gaming,16,67,1072,40
2025-11-09,HyperX Cloud II Headset,Gaming,13,87,1131,36
2025-11-09,Secret Lab Gaming Chair,Gaming,5,519,2595,28
2025-11-09,Samsung 1TB SSD,Components,11,115,1265,30
2025-11-09,Kingston 16GB DDR4 RAM,Components,9,59,531,33
2025-11-09,NVIDIA RTX 4060 GPU,Components,6,399,2394,15
2025-11-09,HP LaserJet Printer,Printers,1,239,239,20
2025-11-09,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-09,Logitech C920 Webcam,Accessories,3,79,237,42
2025-11-09,Anker 7-Port USB Hub,Accessories,16,35,560,45
2025-11-09,WD 2TB External HDD,Storage,7,75,525,28
2025-11-09,SanDisk 128GB Flash Drive,Storage,22,15,330,50
2025-11-09,ASUS AX3000 Router,Networking,6,131,786,26
2025-11-09,Anker 20000mAh Powerbank,Accessories,9,51,459,40
2025-11-09,Dell Inspiron 14 Laptop,Laptops,5,719,3595,17
2025-11-09,Lenovo Tab M10 Tablet,Tablets,6,219,1314,22
2025-11-09,ASUS ProArt 27" Monitor,Monitors,3,639,1917,19
2025-11-09,Corsair K70 RGB Keyboard,Gaming,11,171,1881,32
2025-11-09,Logitech Z333 Speakers,Accessories,7,63,441,38
2025-11-09,APC 1500VA UPS,Networking,3,199,597,24
2025-11-09,HDMI 2.1 Cable 3m,Accessories,28,11,308,55
2025-11-09,XXL Mouse Pad,Gaming,18,23,414,48
2025-11-09,Electronics Cleaning Kit,Accessories,15,7,105,60
2025-11-10,ASUS VivoBook 15 Laptop,Laptops,6,639,3834,18
2025-11-10,Lenovo IdeaPad 3 Laptop,Laptops,5,539,2695,16
2025-11-10,Samsung 27" 4K Monitor,Monitors,7,359,2513,22
2025-11-10,LG 24" FHD Monitor,Monitors,9,169,1521,25
2025-11-10,Logitech MX Keys Keyboard,Accessories,5,119,595,35
2025-11-10,Microsoft Ergonomic Keyboard,Accessories,2,75,150,32
2025-11-10,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-10,Razer DeathAdder Mouse,Gaming,15,67,1005,40
2025-11-10,HyperX Cloud II Headset,Gaming,12,87,1044,36
2025-11-10,Secret Lab Gaming Chair,Gaming,4,519,2076,28
2025-11-10,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-10,Kingston 16GB DDR4 RAM,Components,7,59,413,33
2025-11-10,NVIDIA RTX 4060 GPU,Components,5,399,1995,15
2025-11-10,HP LaserJet Printer,Printers,1,239,239,20
2025-11-10,Epson EcoTank Printer,Printers,1,299,299,18
2025-11-10,Logitech C920 Webcam,Accessories,3,79,237,42
2025-11-10,Anker 7-Port USB Hub,Accessories,15,35,525,45
2025-11-10,WD 2TB External HDD,Storage,6,75,450,28
2025-11-10,SanDisk 128GB Flash Drive,Storage,20,15,300,50
2025-11-10,ASUS AX3000 Router,Networking,5,131,655,26
2025-11-10,Anker 20000mAh Powerbank,Accessories,8,51,408,40
2025-11-10,Dell Inspiron 14 Laptop,Laptops,4,719,2876,17
2025-11-10,Lenovo Tab M10 Tablet,Tablets,5,219,1095,22
2025-11-10,ASUS ProArt 27" Monitor,Monitors,2,639,1278,19
2025-11-10,Corsair K70 RGB Keyboard,Gaming,10,171,1710,32
2025-11-10,Logitech Z333 Speakers,Accessories,6,63,378,38
2025-11-10,APC 1500VA UPS,Networking,3,199,597,24
2025-11-10,HDMI 2.1 Cable 3m,Accessories,26,11,286,55
2025-11-10,XXL Mouse Pad,Gaming,17,23,391,48
2025-11-10,Electronics Cleaning Kit,Accessories,14,7,98,60
2025-11-11,ASUS VivoBook 15 Laptop,Laptops,2,639,1278,18
2025-11-11,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-11,Samsung 27" 4K Monitor,Monitors,3,359,1077,22
2025-11-11,LG 24" FHD Monitor,Monitors,4,169,676,25
2025-11-11,Logitech MX Keys Keyboard,Accessories,7,119,833,35
2025-11-11,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-11,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-11,Razer DeathAdder Mouse,Gaming,4,67,268,40
2025-11-11,HyperX Cloud II Headset,Gaming,3,87,261,36
2025-11-11,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-11,Samsung 1TB SSD,Components,8,115,920,30
2025-11-11,Kingston 16GB DDR4 RAM,Components,6,59,354,33
2025-11-11,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-11,HP LaserJet Printer,Printers,3,239,717,20
2025-11-11,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-11,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-11,Anker 7-Port USB Hub,Accessories,9,35,315,45
2025-11-11,WD 2TB External HDD,Storage,5,75,375,28
2025-11-11,SanDisk 128GB Flash Drive,Storage,12,15,180,50
2025-11-11,ASUS AX3000 Router,Networking,3,131,393,26
2025-11-11,Anker 20000mAh Powerbank,Accessories,4,51,204,40
2025-11-11,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-11,Lenovo Tab M10 Tablet,Tablets,2,219,438,22
2025-11-11,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-11,Corsair K70 RGB Keyboard,Gaming,2,171,342,32
2025-11-11,Logitech Z333 Speakers,Accessories,3,63,189,38
2025-11-11,APC 1500VA UPS,Networking,1,199,199,24
2025-11-11,HDMI 2.1 Cable 3m,Accessories,14,11,154,55
2025-11-11,XXL Mouse Pad,Gaming,5,23,115,48
2025-11-11,Electronics Cleaning Kit,Accessories,8,7,56,60
2025-11-12,ASUS VivoBook 15 Laptop,Laptops,3,639,1917,18
2025-11-12,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-12,Samsung 27" 4K Monitor,Monitors,4,359,1436,22
2025-11-12,LG 24" FHD Monitor,Monitors,5,169,845,25
2025-11-12,Logitech MX Keys Keyboard,Accessories,6,119,714,35
2025-11-12,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-12,Logitech MX Master 3 Mouse,Accessories,6,99,594,38
2025-11-12,Razer DeathAdder Mouse,Gaming,5,67,335,40
2025-11-12,HyperX Cloud II Headset,Gaming,4,87,348,36
2025-11-12,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-12,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-12,Kingston 16GB DDR4 RAM,Components,6,59,354,33
2025-11-12,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-12,HP LaserJet Printer,Printers,3,239,717,20
2025-11-12,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-12,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-12,Anker 7-Port USB Hub,Accessories,10,35,350,45
2025-11-12,WD 2TB External HDD,Storage,6,75,450,28
2025-11-12,SanDisk 128GB Flash Drive,Storage,14,15,210,50
2025-11-12,ASUS AX3000 Router,Networking,4,131,524,26
2025-11-12,Anker 20000mAh Powerbank,Accessories,5,51,255,40
2025-11-12,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-12,Lenovo Tab M10 Tablet,Tablets,3,219,657,22
2025-11-12,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-12,Corsair K70 RGB Keyboard,Gaming,3,171,513,32
2025-11-12,Logitech Z333 Speakers,Accessories,4,63,252,38
2025-11-12,APC 1500VA UPS,Networking,2,199,398,24
2025-11-12,HDMI 2.1 Cable 3m,Accessories,16,11,176,55
2025-11-12,XXL Mouse Pad,Gaming,7,23,161,48
2025-11-12,Electronics Cleaning Kit,Accessories,9,7,63,60
2025-11-13,ASUS VivoBook 15 Laptop,Laptops,2,639,1278,18
2025-11-13,Lenovo IdeaPad 3 Laptop,Laptops,3,539,1617,16
2025-11-13,Samsung 27" 4K Monitor,Monitors,3,359,1077,22
2025-11-13,LG 24" FHD Monitor,Monitors,5,169,845,25
2025-11-13,Logitech MX Keys Keyboard,Accessories,7,119,833,35
2025-11-13,Microsoft Ergonomic Keyboard,Accessories,3,75,225,32
2025-11-13,Logitech MX Master 3 Mouse,Accessories,5,99,495,38
2025-11-13,Razer DeathAdder Mouse,Gaming,6,67,402,40
2025-11-13,HyperX Cloud II Headset,Gaming,5,87,435,36
2025-11-13,Secret Lab Gaming Chair,Gaming,1,519,519,28
2025-11-13,Samsung 1TB SSD,Components,8,115,920,30
2025-11-13,Kingston 16GB DDR4 RAM,Components,5,59,295,33
2025-11-13,NVIDIA RTX 4060 GPU,Components,2,399,798,15
2025-11-13,HP LaserJet Printer,Printers,2,239,478,20
2025-11-13,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-13,Logitech C920 Webcam,Accessories,4,79,316,42
2025-11-13,Anker 7-Port USB Hub,Accessories,11,35,385,45
2025-11-13,WD 2TB External HDD,Storage,5,75,375,28
2025-11-13,SanDisk 128GB Flash Drive,Storage,13,15,195,50
2025-11-13,ASUS AX3000 Router,Networking,3,131,393,26
2025-11-13,Anker 20000mAh Powerbank,Accessories,5,51,255,40
2025-11-13,Dell Inspiron 14 Laptop,Laptops,2,719,1438,17
2025-11-13,Lenovo Tab M10 Tablet,Tablets,2,219,438,22
2025-11-13,ASUS ProArt 27" Monitor,Monitors,1,639,639,19
2025-11-13,Corsair K70 RGB Keyboard,Gaming,4,171,684,32
2025-11-13,Logitech Z333 Speakers,Accessories,3,63,189,38
2025-11-13,APC 1500VA UPS,Networking,1,199,199,24
2025-11-13,HDMI 2.1 Cable 3m,Accessories,15,11,165,55
2025-11-13,XXL Mouse Pad,Gaming,8,23,184,48
2025-11-13,Electronics Cleaning Kit,Accessories,10,7,70,60
2025-11-14,ASUS VivoBook 15 Laptop,Laptops,3,639,1917,18
2025-11-14,Lenovo IdeaPad 3 Laptop,Laptops,2,539,1078,16
2025-11-14,Samsung 27" 4K Monitor,Monitors,4,359,1436,22
2025-11-14,LG 24" FHD Monitor,Monitors,6,169,1014,25
2025-11-14,Logitech MX Keys Keyboard,Accessories,8,119,952,35
2025-11-14,Microsoft Ergonomic Keyboard,Accessories,4,75,300,32
2025-11-14,Logitech MX Master 3 Mouse,Accessories,7,99,693,38
2025-11-14,Razer DeathAdder Mouse,Gaming,7,67,469,40
2025-11-14,HyperX Cloud II Headset,Gaming,6,87,522,36
2025-11-14,Secret Lab Gaming Chair,Gaming,2,519,1038,28
2025-11-14,Samsung 1TB SSD,Components,9,115,1035,30
2025-11-14,Kingston 16GB DDR4 RAM,Components,7,59,413,33
2025-11-14,NVIDIA RTX 4060 GPU,Components,3,399,1197,15
2025-11-14,HP LaserJet Printer,Printers,3,239,717,20
2025-11-14,Epson EcoTank Printer,Printers,2,299,598,18
2025-11-14,Logitech C920 Webcam,Accessories,5,79,395,42
2025-11-14,Anker 7-Port USB Hub,Accessories,12,35,420,45
